time,latitude,longitude,depth,mag,magType,place,type
2020-11-17T07:35:20.936Z,382.402,702.349,10,4.8,mb,"23 km NE of Mŭ’minobod, Tajikistan",earthquake
2020-11-17T07:26:41.848Z,-226.607,1.793.787,566.26,4.2,mb,south of the Fiji Islands,earthquake
2020-11-17T07:19:21.210Z,340.711.667,-1.167.215,5.33,3.47,mw,"13km WNW of Morongo Valley, CA",earthquake
2020-11-17T07:18:34.369Z,276.575,1.298.952,10,4.6,mb,"88 km SSE of Naze, Japan",earthquake
2020-11-17T06:12:45.570Z,179.863,-668.041,15,2.5,md,"1 km ESE of Indios, Puerto Rico",earthquake
2020-11-17T05:57:51.116Z,349.502,-1.111.321,10,2.8,ml,"35 km WSW of Winslow West, Arizona",earthquake
2020-11-17T05:39:25.140Z,-218.065,-1.795.377,582.18,4.3,mb,Fiji region,earthquake
2020-11-17T04:55:52.110Z,18.474,1.462.021,88.88,4.8,mb,"Pagan region, Northern Mariana Islands",earthquake
2020-11-17T04:51:00.630Z,179.905,-668.306,14,2.84,md,"1 km WSW of Indios, Puerto Rico",earthquake
2020-11-17T03:50:30.796Z,138.451,-918.649,32.54,4.2,mb,"49 km S of Champerico, Guatemala",earthquake
2020-11-17T02:20:02.493Z,443.513,-1.150.505,10,3.4,ml,"17 km NNW of Stanley, Idaho",earthquake
2020-11-17T02:11:49.259Z,444.726,-1.152.118,10,2.6,ml,southern Idaho,earthquake
2020-11-17T01:49:31.358Z,383.343,218.439,10,4.4,mb,"5 km NE of Aktaío, Greece",earthquake
2020-11-17T01:44:09.984Z,-26.821,993.186,10,5.9,mww,"Kepulauan Mentawai region, Indonesia",earthquake
2020-11-17T01:19:34.958Z,-148.198,1.676.159,10,4.9,mb,"63 km ENE of Port-Olry, Vanuatu",earthquake
2020-11-17T01:00:05.225Z,-236.581,1.796.854,519.22,4.4,mb,south of the Fiji Islands,earthquake
2020-11-17T00:37:11.187Z,543.416,-1.596.899,21.88,3.5,ml,"122 km SSE of Sand Point, Alaska",earthquake
2020-11-17T00:30:28.970Z,376.401.667,-1.193.903.333,11.65,2.54,md,"20km SE of Yosemite Valley, CA",earthquake
2020-11-17T00:20:09.957Z,417.359,-1.256.044,7.22,2.8,ml,"115 km WSW of Brookings, Oregon",earthquake
2020-11-16T23:55:27.760Z,189.836,-654.053,29,3.26,md,"75 km NNE of Luquillo, Puerto Rico",earthquake
2020-11-16T23:24:38.928Z,-47.836,1.027.091,55.19,4.3,mb,"102 km SW of Pagar Alam, Indonesia",earthquake
2020-11-16T23:19:53.836Z,6.885,-731.113,147.53,4.6,mb,"13 km SSW of Piedecuesta, Colombia",earthquake
2020-11-16T22:45:22.559Z,-70.238,155.739,33,5.5,mww,"83 km SSE of Panguna, Papua New Guinea",earthquake
2020-11-16T22:44:07.717Z,381.088,-1.182.234,6.4,2.9,ml,"32 km SSW of Mina, Nevada",earthquake
2020-11-16T22:28:01.450Z,181.595,-673.908,9,03.01,md,"23 km WNW of Puerto Real, Puerto Rico",earthquake
2020-11-16T22:27:03.313Z,-334.263,179.076,5,3.5,mb_lg,"46 km S of Saldanha, South Africa",earthquake
2020-11-16T21:41:21.300Z,399.721.667,-1.113.188.333,19.8,2.87,ml,"28 km SE of Mapleton, Utah",earthquake
2020-11-16T21:41:14.430Z,400.001.667,-1.113.065,15.94,2.61,ml,"27 km ESE of Mapleton, Utah",earthquake
2020-11-16T21:39:56.417Z,5.4047,1.261.823,10,4.2,mb,"79 km E of Sarangani, Philippines",earthquake
2020-11-16T21:12:45.600Z,-130.503,1.671.997,205.66,4.3,mb,"98 km NNW of Sola, Vanuatu",earthquake
2020-11-16T20:29:52.729Z,543.707,-1.597.427,10,3.6,ml,"117 km SSE of Sand Point, Alaska",earthquake
2020-11-16T20:18:34.172Z,-284.294,-711.049,43.01,4.8,mwr,"37 km WNW of Vallenar, Chile",earthquake
2020-11-16T20:14:24.874Z,216.233,1.210.033,10,4.6,mb,"49 km SSE of Hengchun, Taiwan",earthquake
2020-11-16T19:30:53.348Z,-57.782,1.538.341,10,4.4,mb,"192 km WNW of Panguna, Papua New Guinea",earthquake
2020-11-16T19:23:22.255Z,-30.534,1.297.549,13.16,4.3,mb,"98 km ENE of Amahai, Indonesia",earthquake
2020-11-16T19:12:01.730Z,367.665,-9.782.416.667,6.28,2.72,ml,"5 km NNW of Jefferson, Oklahoma",earthquake
2020-11-16T18:59:39.180Z,443.246,-1.150.287,10,2.7,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-16T18:52:51.667Z,444.571,-1.152.307,10,2.5,ml,"35 km NW of Stanley, Idaho",earthquake
2020-11-16T18:51:58.315Z,597.405,-1.389.056,0.8,3.6,ml,"51 km ENE of Yakutat, Alaska",earthquake
2020-11-16T18:37:46.627Z,216.515,1.210.193,10,4.7,mb,"48 km SE of Hengchun, Taiwan",earthquake
2020-11-16T17:48:28.977Z,-467.667,334.798,10,4.4,mb,Prince Edward Islands region,earthquake
2020-11-16T17:38:40.183Z,-248.641,1.799.644,505.14,4.2,mb,south of the Fiji Islands,earthquake
2020-11-16T17:18:16.546Z,597.148,-138.932,6.6,4.2,ml,"48 km ENE of Yakutat, Alaska",earthquake
2020-11-16T17:02:23.702Z,441.293,-1.150.583,10,2.7,ml,"13 km SW of Stanley, Idaho",earthquake
2020-11-16T16:43:06.792Z,533.101,-1.673.649,36,4.1,mb,"83 km SW of Unalaska, Alaska",earthquake
2020-11-16T16:41:20.268Z,-239.391,-668.157,197.12,4.5,mb,"59 km WNW of San Antonio de los Cobres, Argentina",earthquake
2020-11-16T16:14:42.056Z,276.799,1.299.521,10,4.6,mb,"88 km SSE of Naze, Japan",earthquake
2020-11-16T15:54:54.490Z,307.297,1.087.001,10,4.2,mb,"32 km ESE of Wanxian, China",earthquake
2020-11-16T15:35:34.319Z,277.341,129.876,10,4.6,mb,"80 km SSE of Naze, Japan",earthquake
2020-11-16T15:08:12.931Z,276.078,129.934,10,5.1,mb,"95 km SSE of Naze, Japan",earthquake
2020-11-16T14:50:24.223Z,3.444,126.299,36.09,4.4,mb,"130 km WSW of Ternate, Indonesia",earthquake
2020-11-16T14:44:41.590Z,-48.282,1.550.143,10,4.4,mb,"166 km NNW of Arawa, Papua New Guinea",earthquake
2020-11-16T14:43:42.313Z,-48.699,1.548.412,10,4.5,mb,"170 km NNW of Arawa, Papua New Guinea",earthquake
2020-11-16T14:33:52.613Z,-23.118,68.766,10,4.4,mb,Mid-Indian Ridge,earthquake
2020-11-16T14:22:46.835Z,-324.411,-714.801,67.73,4.2,mwr,"23 km W of La Ligua, Chile",earthquake
2020-11-16T13:59:21.031Z,4.7244,-765.228,72.99,4.8,mb,"15 km ENE of Sipí, Colombia",earthquake
2020-11-16T13:52:23.067Z,381.873,-1.177.507,10.8,3.2,ml,"38 km SE of Mina, Nevada",earthquake
2020-11-16T13:48:26.076Z,3.427,1.262.926,40.78,4.6,mb,"131 km WSW of Ternate, Indonesia",earthquake
2020-11-16T13:42:16.784Z,-109.231,164.396,10,5.1,mb,"154 km W of Lata, Solomon Islands",earthquake
2020-11-16T13:37:33.451Z,5.073,1.264.066,39.26,4.3,mb,"113 km WSW of Ternate, Indonesia",earthquake
2020-11-16T13:31:56.670Z,192.211.666.107.178,-155.394.332.885.742,374.000.000.953.674,2.97,ml,"9 km ENE of Pāhala, Hawaii",earthquake
2020-11-16T13:31:50.520Z,192.278.333.333.333,-1.553.895,31.88,03.05,md,"9 km ENE of Pāhala, Hawaii",earthquake
2020-11-16T12:36:11.434Z,-213.641,1.705.557,151.84,4.7,mb,"241 km SSE of Isangel, Vanuatu",earthquake
2020-11-16T12:05:28.039Z,418.181,-1.260.526,10,3.7,mb,"146 km WSW of Pistol River, Oregon",earthquake
2020-11-16T11:21:17.830Z,-623.824,-584.868,10,4.7,mb,South Shetland Islands,earthquake
2020-11-16T10:56:22.320Z,358.881.667,-1.177.236.667,7.67,3.59,mw,"17km ESE of Little Lake, CA",earthquake
2020-11-16T10:07:00.850Z,178.976,-669.856,11,2.83,md,Puerto Rico region,earthquake
2020-11-16T10:06:11.825Z,311.676,49.612,10,4.1,mb,"12 km S of Rāmhormoz, Iran",earthquake
2020-11-16T09:28:01.580Z,340.433.333,-1.172.331.667,15.06,3.41,ml,"3km ESE of Loma Linda, CA",earthquake
2020-11-16T08:45:10.280Z,35.034,-849.171.667,6.56,2.5,md,"8 km SW of Wildwood Lake, Tennessee",earthquake
2020-11-16T08:21:05.561Z,443.287,-1.150.088,10,2.5,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-16T07:51:06.034Z,-158.905,-1.736.473,110.34,4.6,mb,"17 km ENE of Hihifo, Tonga",earthquake
2020-11-16T07:19:11.946Z,219.599,1.214.559,62.13,4.8,mb,"73 km E of Hengchun, Taiwan",earthquake
2020-11-16T07:18:39.850Z,193.566.666.666.667,-155.108.166.666.667,7.12,2.88,ml,"12 km SSE of Fern Forest, Hawaii",earthquake
2020-11-16T05:34:45.285Z,-343.339,-726.262,10,4.5,mwr,"112 km N of Constitución, Chile",earthquake
2020-11-16T05:01:30.266Z,443.434,-1.150.213,16.77,2.6,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-16T04:43:08.432Z,381.894,-1.177.482,10.6,3.6,ml,"38 km SE of Mina, Nevada",earthquake
2020-11-16T04:05:54.361Z,188.054,1.455.946,201.2,4,mb,"Pagan region, Northern Mariana Islands",earthquake
2020-11-16T03:53:20.017Z,443.489,-115.026,8.98,2.5,ml,"16 km NNW of Stanley, Idaho",earthquake
2020-11-16T03:37:53.170Z,178.331,-657.183,4,2.83,md,"25 km SE of Emajagua, Puerto Rico",earthquake
2020-11-16T03:24:40.511Z,663.335,-1.574.736,0,2.5,ml,"63 km SSW of Shungnak, Alaska",earthquake
2020-11-16T02:38:03.140Z,182.641,-654.723,23,2.95,md,"13 km NNW of Isabel Segunda, Puerto Rico",earthquake
2020-11-16T02:29:54.000Z,178.356,-657.343,3,2.72,md,"24 km SE of Emajagua, Puerto Rico",earthquake
2020-11-16T02:23:29.884Z,443.239,-1.150.032,10,2.6,ml,"12 km NNW of Stanley, Idaho",earthquake
2020-11-16T01:21:42.040Z,193.601.666.666.667,-155.11,7.42,03.01,ml,"11 km SSE of Fern Forest, Hawaii",earthquake
2020-11-16T00:46:39.276Z,381.669,-1.178.617,4.4,3,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-16T00:34:29.599Z,-576.341,-246.179,10,4.4,mb,South Sandwich Islands region,earthquake
2020-11-16T00:28:04.247Z,-59.008,1.308.801,115,4.4,mb,"209 km W of Tual, Indonesia",earthquake
2020-11-16T00:12:17.210Z,175.566,-641.376,34,3.57,md,"67 km ESE of Saint Croix, U.S. Virgin Islands",earthquake
2020-11-15T23:50:54.865Z,443.214,-1.150.175,13.3,2.6,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-15T23:21:11.146Z,443.445,-1.150.218,10,2.6,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-15T23:19:03.503Z,-243.285,-674.556,198.96,4.8,mb,"116 km W of San Antonio de los Cobres, Argentina",earthquake
2020-11-15T23:17:24.204Z,443.069,-1.150.446,10,3.6,ml,"13 km NW of Stanley, Idaho",earthquake
2020-11-15T22:49:12.276Z,133.226,1.243.908,35,4.4,mb,"32 km ENE of Rapu-Rapu, Philippines",earthquake
2020-11-15T22:48:36.045Z,44.329,-1.150.127,10,2.5,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-15T22:37:43.690Z,8.7567,126.291,43,6,mww,"5 km S of Marihatag, Philippines",earthquake
2020-11-15T22:37:13.765Z,44.315,-1.150.409,10,3.3,ml,"13 km NW of Stanley, Idaho",earthquake
2020-11-15T22:35:57.747Z,443.256,-115.016,10,2.7,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-15T22:32:47.495Z,443.533,-1.150.639,10,2.7,ml,"18 km NNW of Stanley, Idaho",earthquake
2020-11-15T22:22:44.691Z,443.157,-115.041,10,3.5,ml,"13 km NW of Stanley, Idaho",earthquake
2020-11-15T22:06:31.112Z,272.519,535.122,10,4.1,mb,"70 km ESE of Mohr, Iran",earthquake
2020-11-15T21:54:52.192Z,-279.782,-665.878,160.94,4.3,mb,"51 km SSW of Andalgalá, Argentina",earthquake
2020-11-15T21:52:40.020Z,-314.125,-1.771.596,10,4.4,mb,Kermadec Islands region,earthquake
2020-11-15T21:36:42.164Z,443.032,-1.150.191,10,3.1,ml,southern Idaho,earthquake
2020-11-15T21:14:21.121Z,545.297,-1.597.298,35,4.3,mwr,"102 km SSE of Sand Point, Alaska",earthquake
2020-11-15T21:07:20.690Z,443.574,-1.150.049,10,2.9,ml,"16 km NNW of Stanley, Idaho",earthquake
2020-11-15T20:49:54.220Z,181.605,-673.958,10,3.31,md,"23 km SW of Stella, Puerto Rico",earthquake
2020-11-15T20:48:22.940Z,443.493,-1.150.379,4.72,4.1,mwr,"16 km NNW of Stanley, Idaho",earthquake
2020-11-15T20:12:29.678Z,443.348,-1.150.157,10,2.6,ml,"14 km NNW of Stanley, Idaho",earthquake
2020-11-15T20:00:42.828Z,443.438,-1.150.114,10,2.6,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-15T17:51:04.707Z,542.488,-1.596.667,28.35,3.6,ml,"132 km SSE of Sand Point, Alaska",earthquake
2020-11-15T16:41:57.124Z,599.464,-1.541.375,195.5,2.5,ml,"17 km N of Pedro Bay, Alaska",earthquake
2020-11-15T15:50:21.795Z,422.973,804.334,10,4,mb,"124 km N of Aksu, China",earthquake
2020-11-15T15:44:53.845Z,317.349,-1.040.986,5,3.3,ml,"47 km W of Mentone, Texas",earthquake
2020-11-15T15:40:36.699Z,2.7869,1.281.375,55.45,4.4,mb,"117 km N of Tobelo, Indonesia",earthquake
2020-11-15T15:31:17.122Z,223.975,1.449.804,10,4.4,mb,"Volcano Islands, Japan region",earthquake
2020-11-15T15:20:58.850Z,375.345,-1.188.283.333,9.46,2.88,ml,"13km WSW of Toms Place, CA",earthquake
2020-11-15T15:17:56.288Z,-248.616,-1.799.685,510.73,4.1,mb,south of the Fiji Islands,earthquake
2020-11-15T15:06:20.480Z,180.041,-670.371,6,2.56,md,"3 km NNE of La Parguera, Puerto Rico",earthquake
2020-11-15T12:33:15.710Z,-241.365,-676.093,145.87,5.3,mww,"131 km W of San Antonio de los Cobres, Argentina",earthquake
2020-11-15T12:18:06.439Z,-233.996,-66.78,214.12,4.5,mb,"102 km NNW of San Antonio de los Cobres, Argentina",earthquake
2020-11-15T11:37:25.093Z,17.64,-464.158,10,4.9,mb,northern Mid-Atlantic Ridge,earthquake
2020-11-15T11:31:31.490Z,175.627,-463.686,10,4.8,mb,northern Mid-Atlantic Ridge,earthquake
2020-11-15T11:15:04.724Z,179.662,-467.277,10,4.9,mb,northern Mid-Atlantic Ridge,earthquake
2020-11-15T11:06:57.205Z,600.821,-153.213,124.6,2.7,ml,"59 km ENE of Pedro Bay, Alaska",earthquake
2020-11-15T10:05:09.418Z,-212.493,-689.609,124.68,4.3,mb,Chile-Bolivia border region,earthquake
2020-11-15T09:17:28.136Z,381.649,-1.178.508,6.3,2.9,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-15T08:38:28.786Z,243.431,1.419.677,71.17,4.9,mb,"Volcano Islands, Japan region",earthquake
2020-11-15T07:51:01.088Z,381.938,-1.177.347,9.6,2.5,ml,"39 km SE of Mina, Nevada",earthquake
2020-11-15T07:30:32.280Z,381.639,-1.178.675,4.6,2.9,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-15T06:35:17.317Z,11.8158,1.243.091,37.32,5.1,mww,"19 km SW of Santo Niño, Philippines",earthquake
2020-11-15T05:34:06.092Z,52.623,1.716.044,10,4.4,mb,"109 km WSW of Attu Station, Alaska",earthquake
2020-11-15T04:27:02.292Z,329.075,-1.008.785,5,3.5,mb_lg,"21 km N of Snyder, Texas",earthquake
2020-11-15T03:58:48.730Z,198.293.333.333.333,-155.538.666.666.667,14.29,2.51,ml,"25 km SSE of Waimea, Hawaii",earthquake
2020-11-15T03:17:34.460Z,-202.635,-709.004,38.55,4.2,mb,"78 km W of Iquique, Chile",earthquake
2020-11-15T02:59:38.695Z,-213.864,1.686.711,17.1,4.1,mb,"83 km ENE of Tadine, New Caledonia",earthquake
2020-11-15T02:41:39.178Z,-53.396,1.538.973,70.61,4.7,mb,"206 km WNW of Panguna, Papua New Guinea",earthquake
2020-11-15T02:28:29.800Z,179.498,-668.353,7,2.84,md,"5 km SSW of Indios, Puerto Rico",earthquake
2020-11-15T02:28:11.729Z,604.198,-1.371.431,10,3,ml,"Southern Yukon Territory, Canada",earthquake
2020-11-15T02:12:29.468Z,-53.268,1.415.382,123.59,4.6,mb,"92 km NNE of Kiunga, Papua New Guinea",earthquake
2020-11-15T01:56:13.832Z,11.1471,-865.676,34.39,4.6,mb,"71 km S of Masachapa, Nicaragua",earthquake
2020-11-15T00:06:02.138Z,381.604,-1.178.624,6.3,2.7,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-15T00:00:40.380Z,599.741,-1.532.895,124.6,2.5,ml,"50 km ENE of Pedro Bay, Alaska",earthquake
2020-11-14T23:15:09.347Z,215.898,1.219.043,10,4.4,mb,"126 km N of Basco, Philippines",earthquake
2020-11-14T23:08:21.502Z,317.192,-1.041.121,9.65,2.8,ml,"48 km W of Mentone, Texas",earthquake
2020-11-14T23:06:44.906Z,317.284,-1.040.927,5,2.5,mb_lg,"46 km W of Mentone, Texas",earthquake
2020-11-14T22:57:27.313Z,266.095,1.267.257,104.18,4.9,mb,"104 km WNW of Naha, Japan",earthquake
2020-11-14T22:22:53.290Z,498.898.333,-1.147.623.333,-2,2.58,ml,"19 km NNE of Sparwood, Canada",quarry blast
2020-11-14T22:21:09.083Z,-64.037,1.539.298,10,4.3,mb,"172 km W of Panguna, Papua New Guinea",earthquake
2020-11-14T21:05:56.090Z,179.158,-669.241,13,2.78,md,"6 km SSW of Guánica, Puerto Rico",earthquake
2020-11-14T20:59:06.816Z,-195.414,1.688.971,37.08,4.8,mb,"40 km W of Isangel, Vanuatu",earthquake
2020-11-14T20:42:16.152Z,518.447,-1.778.081,3.58,2.5,ml,"80 km W of Adak, Alaska",earthquake
2020-11-14T20:33:03.048Z,444.002,-1.152.068,13.95,2.9,ml,"29 km NW of Stanley, Idaho",earthquake
2020-11-14T19:57:36.930Z,381.661,-1.178.485,8.1,2.9,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-14T19:41:50.930Z,18.961,-651.986,29,3.48,md,"73 km N of Culebra, Puerto Rico",earthquake
2020-11-14T15:32:32.748Z,-66.222,105.168,72.17,4.7,mb,"78 km WSW of Labuan, Indonesia",earthquake
2020-11-14T15:07:33.127Z,381.849,-1.177.505,10.7,3,ml,"38 km SE of Mina, Nevada",earthquake
2020-11-14T14:31:05.607Z,554.235,-1.585.069,37.94,3.4,ml,"67 km SE of Perryville, Alaska",earthquake
2020-11-14T14:29:19.724Z,-204.175,-691.073,93.02,5.1,mb,"111 km ESE of Iquique, Chile",earthquake
2020-11-14T14:19:13.280Z,17.947,-669.776,9,2.83,md,"7 km WSW of Guánica, Puerto Rico",earthquake
2020-11-14T13:46:12.727Z,-313.678,-676.444,124.95,4.3,mb,"68 km ENE of Caucete, Argentina",earthquake
2020-11-14T13:01:44.212Z,-55.108,1.585.736,10,4.4,mb,Macquarie Island region,earthquake
2020-11-14T12:47:26.679Z,-447.365,357.216,10,4.9,mb,Prince Edward Islands region,earthquake
2020-11-14T12:42:37.140Z,381.626,-1.178.673,5.2,3.4,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-14T12:09:15.898Z,381.947,-1.177.337,8.6,2.5,ml,"39 km ESE of Mina, Nevada",earthquake
2020-11-14T11:28:23.600Z,17.86,-66.837,7,2.72,md,"14 km SSE of Maria Antonia, Puerto Rico",earthquake
2020-11-14T11:12:55.029Z,-177.534,-1.782.951,564.67,4.7,mb,"255 km E of Levuka, Fiji",earthquake
2020-11-14T11:07:06.323Z,381.658,-1.178.641,5.3,2.8,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-14T10:50:14.280Z,315.231.667,-1.156.995,7.9,2.73,ml,"85km ESE of Maneadero, B.C., MX",earthquake
2020-11-14T10:39:15.838Z,-277.588,740.942,10,5.2,mb,Mid-Indian Ridge,earthquake
2020-11-14T09:59:23.880Z,179.901,-667.581,13,3.19,md,"3 km SSE of Magas Arriba, Puerto Rico",earthquake
2020-11-14T09:59:09.312Z,-152.056,-1.770.451,361.27,4.6,mb,"151 km SE of Alo, Wallis and Futuna",earthquake
2020-11-14T08:59:33.621Z,381.755,-1.177.809,9.8,2.9,ml,"37 km SE of Mina, Nevada",earthquake
2020-11-14T08:50:26.090Z,236.006,946.245,102.86,5.1,mb,"22 km ESE of Mawlaik, Myanmar",earthquake
2020-11-14T08:40:40.180Z,178.041,-669.458,11,2.68,md,"18 km SSW of Guánica, Puerto Rico",earthquake
2020-11-14T08:26:14.669Z,2.437,984.172,96.45,4.5,mb,"52 km SSW of Tongging, Indonesia",earthquake
2020-11-14T08:01:04.860Z,18.812,-671.883,110,2.96,ml,"36 km NNW of San Antonio, Puerto Rico",earthquake
2020-11-14T07:13:53.676Z,-202.751,-708.675,24.67,4.3,mb,"75 km W of Iquique, Chile",earthquake
2020-11-14T07:10:01.958Z,381.694,-1.178.213,6.1,2.8,ml,Nevada,earthquake
2020-11-14T06:42:34.057Z,-195.938,1.687.588,40.67,5.5,mww,"55 km W of Isangel, Vanuatu",earthquake
2020-11-14T05:50:13.840Z,404.361.667,-1.246.681.667,23.46,3.32,ml,"35km WNW of Petrolia, CA",earthquake
2020-11-14T05:31:04.502Z,10.4174,1.266.185,10,4.6,mb,"77 km NE of Santa Monica, Philippines",earthquake
2020-11-14T04:46:26.713Z,381.975,-1.177.449,10.6,2.5,ml,"38 km SE of Mina, Nevada",earthquake
2020-11-14T04:29:17.373Z,442.794,-1.151.749,10,3.7,ml,"20 km WNW of Stanley, Idaho",earthquake
2020-11-14T04:28:46.355Z,443.152,-1.151.547,10,3.6,ml,"20 km WNW of Stanley, Idaho",earthquake
2020-11-14T03:42:08.456Z,-212.145,-1.790.132,624.5,4.1,mb,Fiji region,earthquake
2020-11-14T03:27:44.110Z,181.938,-676.333,144,3.49,md,"43 km WSW of Stella, Puerto Rico",earthquake
2020-11-14T03:00:51.520Z,-86.091,1.116.246,106.98,4.1,mb,"59 km S of Trenggalek, Indonesia",earthquake
2020-11-14T02:56:55.255Z,303.638,674.589,12.05,5.5,mww,"15 km SSW of Alik Ghund, Pakistan",earthquake
2020-11-14T02:33:04.260Z,381.621,-1.178.679,4.8,2.7,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-14T02:10:33.033Z,4.2381,1.265.959,39.91,4.4,mb,"179 km SE of Sarangani, Philippines",earthquake
2020-11-14T01:53:32.548Z,-20.263,-708.365,35,3.6,ml,"71 km W of Iquique, Chile",earthquake
2020-11-14T01:33:15.823Z,-623.583,-582.302,10,4.6,mb,South Shetland Islands,earthquake
2020-11-14T01:04:11.451Z,443.081,-1.152.076,10,2.8,ml,"23 km WNW of Stanley, Idaho",earthquake
2020-11-14T00:41:57.889Z,784.261,7.1956,10,4.8,mb,"192 km W of Longyearbyen, Svalbard and Jan Mayen",earthquake
2020-11-13T23:58:08.633Z,10.2531,1.387.014,10,4.4,mb,"103 km NE of Colonia, Micronesia",earthquake
2020-11-13T23:26:59.094Z,-31.734,-71.582,35,4.7,mb,"40 km WSW of Illapel, Chile",earthquake
2020-11-13T23:25:47.781Z,-70.243,1.553.083,115.15,4.4,mb,"80 km SSW of Panguna, Papua New Guinea",earthquake
2020-11-13T22:24:25.021Z,250.953,123.611,43.23,4.1,mb,"93 km NE of Yonakuni, Japan",earthquake
2020-11-13T22:18:15.481Z,507.149,1.570.441,69.26,4.3,mb,"64 km E of Severo-Kuril’sk, Russia",earthquake
2020-11-13T22:08:52.041Z,253.799,1.423.377,15.85,4.4,mb,"Volcano Islands, Japan region",earthquake
2020-11-13T22:08:02.644Z,381.662,-1.178.558,5.6,3.2,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-13T21:38:16.570Z,392.032,217.272,10,4.2,mb,"16 km S of Morfovoúni, Greece",earthquake
2020-11-13T21:10:05.346Z,381.853,-117.749,10.3,2.5,ml,Nevada,earthquake
2020-11-13T21:01:44.990Z,381.623,-1.178.615,5.4,3.5,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-13T20:35:11.463Z,179.251,-633.403,106.74,4.3,mwr,"33 km NNW of Upper Hell's Gate, Bonaire, Saint Eustatius and Saba ",earthquake
2020-11-13T20:05:05.726Z,630.611,-1.504.216,105.1,2.5,ml,"65 km NNE of Petersville, Alaska",earthquake
2020-11-13T19:36:11.770Z,199.648.333.333.333,-155.569.333.333.333,6.37,3.84,ml,"12 km ESE of Waimea, Hawaii",earthquake
2020-11-13T19:04:13.461Z,223.605,-1.076.652,10,5.3,mww,"161 km SW of Mazatlán, Mexico",earthquake
2020-11-13T18:33:11.414Z,5.6725,957.099,46.28,4.9,mb,"42 km NW of Sigli, Indonesia",earthquake
2020-11-13T18:10:25.773Z,366.854,711.378,214.44,4.4,mb,"33 km SE of Jurm, Afghanistan",earthquake
2020-11-13T17:57:00.198Z,442.983,-1.151.679,16.26,3.2,ml,"20 km WNW of Stanley, Idaho",earthquake
2020-11-13T17:43:23.664Z,381.707,-1.178.419,6.7,3.3,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-13T17:08:00.412Z,-35.115,1.468.433,10,4.7,mb,"170 km SSW of Lorengau, Papua New Guinea",earthquake
2020-11-13T16:39:22.870Z,-34.728,1.469.558,10,4.5,mb,"162 km SSW of Lorengau, Papua New Guinea",earthquake
2020-11-13T16:15:40.600Z,180.378,-667.011,10,03.02,md,"1 km S of Tallaboa Alta, Puerto Rico",earthquake
2020-11-13T15:47:20.767Z,381.704,-1.178.582,6.4,2.6,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-13T14:21:10.820Z,38.822,-122.8,3.11,2.82,md,"6km NW of The Geysers, CA",earthquake
2020-11-13T13:39:38.168Z,381.622,-1.178.655,5,3.3,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-13T12:54:29.577Z,381.665,-1.178.524,8.1,2.5,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-13T12:37:32.718Z,615.069,-1.497.193,29.5,2.6,ml,"5 km N of Knik, Alaska",earthquake
2020-11-13T12:36:36.131Z,602.159,-1.511.121,28.4,3.3,ml,"Kenai Peninsula, Alaska",earthquake
2020-11-13T12:30:45.078Z,381.659,-117.864,5.1,3,ml,"32 km SE of Mina, Nevada",earthquake
2020-11-13T11:55:01.550Z,443.775,-1.151.251,9.68,2.5,ml,"23 km NW of Stanley, Idaho",earthquake
2020-11-13T11:32:48.171Z,381.894,-1.177.536,10.5,3.1,ml,"38 km SE of Mina, Nevada",earthquake
2020-11-13T11:30:43.180Z,443.665,-1.151.843.333,6.86,2.53,ml,"25 km NW of Stanley, Idaho",earthquake
2020-11-13T11:20:34.987Z,532.479,-1.603.802,10,3.8,mb,"232 km S of Sand Point, Alaska",earthquake
2020-11-13T11:18:41.112Z,381.631,-1.178.627,5.9,2.8,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-13T11:15:05.831Z,219.243,1.218.217,10,4.5,mb,"111 km E of Hengchun, Taiwan",earthquake
2020-11-13T10:54:32.812Z,443.643,-1.151.759,17.49,4.3,ml,"25 km NW of Stanley, Idaho",earthquake
2020-11-13T10:52:59.755Z,443.635,-1.151.699,10,2.7,ml,"24 km NW of Stanley, Idaho",earthquake
